University;Students;% in Time MA;% in Time BA

RWTH Aachen;4,420;35.5;60.3
Uni Augsburg;1,720;49.4;64
Uni Bamberg;940;37.1;86.7
Uni Bayreuth;750;;60.5
FU Berlin;1,770;22.9;33.7
HU Berlin;1,300;22.2;44.2
TU Berlin;3,060;39.3;49.2
Uni Bielefeld;1,210;52.6;69.6
Uni Bochum - Studiengang Angewandte Informatik;670;35.8;63
Uni Bochum - Fakultät für Mathematik;250;;
Uni Bonn;2,040;41.5;52.8
TU Braunschweig;960;36.5;47.2
Jacobs Univ. Bremen (priv.);450;100;100
Uni Bremen;1,780;40.8;47.2
TU Chemnitz;1,260;26;77.1
TU Clausthal;510;;66.7
BTU Cottbus-Senftenberg;360;;
TU Darmstadt;3,700;30.3;50.7
TU Dortmund;5,750;22.2;41
TU Dresden;2,500;36.4;61.6
Uni Düsseldorf;1,600;46.9;61
Uni Duisburg-Essen/Duisb. - Fakultät für Ingenieurwissenschaften;2,790;48.7;70
Uni Duisburg-Essen/Essen;1,320;60;30.3
Uni Erlangen-Nürnberg;2,600;30.8;51.3
Uni Frankfurt a.M.;2,120;36.7;61.9
TU Bergakademie Freiberg;110;;
Uni Freiburg;1,000;13.6;54.5
Uni Göttingen;890;35.4;63.8
Uni Halle-Wittenberg;440;;48.5
TU Hamburg;940;29.7;63.4
Uni Hamburg;1,800;26.8;63.8
Uni Hannover;1,860;46.4;61.2
Uni Heidelberg - Medizinische Fakultät Heidelberg;850;76.6;69
Uni Heidelberg - Fakultät für Mathematik und Informatik;780;47.3;36
Uni Hildesheim;520;;42.9
TU Ilmenau;700;54.3;65
Uni Jena;560;48.5;83.3
TU Kaiserslautern;1,380;24.7;44.3
Karlsruher Inst. f. Technologie KIT;2,740;29.9;58.7
Uni Kassel;780;;24.2
Uni Kiel;1,600;43.2;65
Uni Koblenz-Landau;830;19.2;100
Uni Konstanz;560;11.6;
Uni Leipzig;1,200;44.9;61.2
Uni Lübeck;1,200;29.7;68.7
Uni Lüneburg;290;66.7;44.4
Uni Magdeburg;1,750;21.2;57.3
Uni Mainz;840;35.5;27.7
Uni Marburg;1,420;52.4;56.3
LMU München;2,820;42.1;50.5
TU München;4,200;35.7;70
Uni BW München;250;77.8;84.2
Uni Münster;780;44.1;70.6
Uni Oldenburg;740;63.3;62.7
Uni Osnabrück;620;37.5;61.9
Uni Paderborn;1,770;33.3;56.1
Uni Passau;1,170;46.8;76
Uni Potsdam/Hasso-Plattner-Inst.;720;22.7;94.8
Uni Potsdam;940;21.7;46.2
Uni Regensburg;450;38.5;71.9
Uni Rostock;860;59.5;86.5
Uni des Saarlandes;1,970;39.2;53.4
Uni Siegen;850;33.3;41
Uni Stuttgart;1,810;33.3;39
Uni Trier;260;;
Uni Tübingen;2,210;47.8;70.6
Uni Ulm;1,340;38;48.1
Uni Weimar;330;40.3;52.8
Uni Würzburg;1,550;37.3;74.4
Uni Wuppertal;570;;
